DataSet,Num Features,Gene List,Model,Precision,Recall,Accuracy,F1,AUROC
Multiomics,51,RF2_25,KNN,0.7391304347826086,0.7285714285714285,0.7357142857142858,0.7338129496402879,0.7514285714285714
Multiomics,51,RF2_25,RF,0.7903225806451613,0.7,0.7571428571428571,0.7424242424242423,0.8390816326530611
Multiomics,51,RF2_25,NB,0.8070175438596491,0.6571428571428571,0.75,0.7244094488188977,0.7959183673469388
mRNA,25,RF2_25,LR,0.6666666666666666,0.6285714285714286,0.6571428571428571,0.6470588235294118,0.7542857142857142
mRNA,25,RF2_25,KNN,0.6515151515151515,0.6142857142857143,0.6428571428571429,0.6323529411764707,0.7239795918367347
mRNA,25,RF2_25,RF,0.7241379310344828,0.6,0.6857142857142857,0.65625,0.7636734693877552
mRNA,25,RF2_25,NB,0.7014925373134329,0.6714285714285714,0.6928571428571428,0.6861313868613139,0.7665306122448979
Methylation,25,RF2_25,LR,0.7083333333333334,0.7285714285714285,0.7142857142857143,0.7183098591549296,0.7128571428571429
Methylation,25,RF2_25,KNN,0.7246376811594203,0.7142857142857143,0.7214285714285714,0.7194244604316546,0.7741836734693878
Methylation,25,RF2_25,RF,0.7678571428571429,0.6142857142857143,0.7142857142857143,0.6825396825396827,0.7901020408163265
Methylation,25,RF2_25,NB,0.6666666666666666,0.4857142857142857,0.6214285714285714,0.5619834710743802,0.6979591836734693
Proteomics,1,RF2_25,LR,0.6282051282051282,0.7,0.6428571428571429,0.6621621621621621,0.6033673469387756
Proteomics,1,RF2_25,KNN,0.5901639344262295,0.5142857142857142,0.5785714285714286,0.5496183206106869,0.6246938775510203
Proteomics,1,RF2_25,RF,0.5714285714285714,0.5142857142857142,0.5642857142857143,0.5413533834586466,0.6175510204081632
Proteomics,1,RF2_25,NB,0.5777777777777777,0.37142857142857144,0.55,0.45217391304347826,0.5531632653061225
Multiomics,20,RF2_10,LR,0.6578947368421053,0.7142857142857143,0.6714285714285714,0.684931506849315,0.7185714285714285
Multiomics,20,RF2_10,KNN,0.6125,0.7,0.6285714285714286,0.6533333333333333,0.7011224489795919
