Dataset,Gene List,Model,FPR,TPR,Thresholds
Methylation,mRNA Var,RF,0.38571428571428573,0.7857142857142857,0.5
Methylation,mRNA Var,RF,0.5285714285714286,0.8714285714285714,0.4
Methylation,mRNA Var,RF,0.7,0.9142857142857143,0.3
Methylation,mRNA Var,RF,0.7428571428571429,0.9857142857142858,0.2
Methylation,mRNA Var,RF,0.7571428571428571,0.9857142857142858,0.1
Methylation,mRNA Var,RF,1.0,1.0,0.0
Methylation,mRNA Var,NB,0.0,0.0,1.999998750889104
Methylation,mRNA Var,NB,0.014285714285714285,0.0,0.9999987508891038
Methylation,mRNA Var,NB,0.04285714285714286,0.0,0.9997015240737401
Methylation,mRNA Var,NB,0.04285714285714286,0.08571428571428572,0.9825345001759287
Methylation,mRNA Var,NB,0.07142857142857142,0.08571428571428572,0.9815153760980136
Methylation,mRNA Var,NB,0.07142857142857142,0.17142857142857143,0.948124389835746
Methylation,mRNA Var,NB,0.1,0.17142857142857143,0.9417263006720321
Methylation,mRNA Var,NB,0.1,0.21428571428571427,0.8948744973268895
Methylation,mRNA Var,NB,0.1,0.24285714285714285,0.8870588233060065
Methylation,mRNA Var,NB,0.1,0.2571428571428571,0.8765145880454122
Methylation,mRNA Var,NB,0.11428571428571428,0.2571428571428571,0.8732179707425322
Methylation,mRNA Var,NB,0.11428571428571428,0.3,0.8676973934524337
Methylation,mRNA Var,NB,0.11428571428571428,0.35714285714285715,0.816576408513775
Methylation,mRNA Var,NB,0.11428571428571428,0.4,0.7951776023747044
Methylation,mRNA Var,NB,0.12857142857142856,0.4,0.7932939225305435
Methylation,mRNA Var,NB,0.12857142857142856,0.4142857142857143,0.782184366313338
Methylation,mRNA Var,NB,0.14285714285714285,0.4142857142857143,0.7493904457464433
Methylation,mRNA Var,NB,0.14285714285714285,0.42857142857142855,0.7379008446844705
Methylation,mRNA Var,NB,0.14285714285714285,0.4714285714285714,0.7282732674315132
Methylation,mRNA Var,NB,0.15714285714285714,0.4714285714285714,0.7192795570621111
Methylation,mRNA Var,NB,0.15714285714285714,0.5428571428571428,0.7061919383738375
